n	fun_per_kb	syn_per_kb
10	0.0525513689631615	0
20	0.105102737926323	0.0525513689631615
50	0.157654106889484	0.157654106889484
100	0.36785958274213	0.210205475852646
200	0.840821903410584	0.262756844815807
500	1.94440065163698	1.20868148615271
1000	3.99390404120027	2.15460612748962
2000	7.7776026065479	3.73114719638447
3070	11.8766093856745	5.7280992169846
5000	18.0251195543644	8.56587314099532
5040	18.1827736612539	8.61842450995849
8128	26.8011981712124	12.1393662304903
9197	29.1660097745546	13.663355930422
10000	31.2155131641179	14.7143833096852
10824	32.7395028640496	15.7128593199853
15000	41.4630301119344	19.5491092542961
15308	41.8834410636397	19.7593147301487
17296	45.7196909979505	21.6511640128225
20000	49.5559409322613	23.43791055757
25000	56.5452730043618	26.5384413263966
30000	63.1141941247569	29.3762152504073
35000	68.7897419727784	32.0563350675285
40000	75.2535603552473	35.0517630984287
45000	80.7714540963792	37.6267801776236
50000	84.9755636134321	39.1507698775553
55000	90.0204950338956	41.5681328498607
56885	91.4919333648642	42.3564033843082
